,x1,x2,years
0,-0.03696045755970368,-0.005317136530754539,1995
1,-0.030146494891925703,-0.021547047384801937,1995
2,-0.03355145113926883,-0.02370481143647005,1995
3,-0.011244847554155217,-0.007671735652429023,1995
4,-0.019030115505365812,-0.019137158764808617,1995
5,-0.04052628099673063,-0.027779454980533268,1995
6,-0.02734780244502198,-0.02934836869705406,1995
7,-0.008086189507379072,-0.01379282297701752,1995
8,-0.004593832165073749,-0.0020278435366264235,1995
9,-0.013095108825260342,0.003311718351711688,1995
10,-0.037011957749042784,-0.02816992020714367,1995
11,-0.029741655999098823,-0.0009262470591571466,1995
12,-0.02995331714676139,0.01488245499621455,1995
13,-0.025452381374190848,0.020302237707491885,1995
14,-0.014546681473397523,0.05121835806567844,1995
15,-0.028005666675392903,0.0288833128296483,1995
16,-0.0017121432660406315,0.03307639088105218,1995
17,-0.028517240378003697,0.020294613648685355,1995
18,-0.02794230979407529,-0.02355533318900804,1995
19,-0.029830701857753432,-0.011751034405065995,1995
20,-0.027735153405637293,-0.009458674704235066,1995
21,0.007477370202146819,-0.027334564469464855,1995
22,-0.012158239292938591,-0.006783805782647147,2016
23,0.044056187897398874,-0.01218005917217222,2016
24,0.0386056602539455,-0.004661450508028638,2016
25,-0.008957591175989441,0.008957763358373493,2016
26,-0.0013501650464987432,-0.015514157586017124,2016
27,0.047864351281597314,-0.022219364157928558,2016
28,0.01850601348762688,-0.010813360500796019,2016
29,0.0005400491143274062,0.02387103805143906,2016
30,-0.021942872090316312,-0.010199521896916931,2016
31,-0.005192689875754819,0.0056098704876048925,2016
32,-0.018230664202369715,0.01782798629981991,2016
33,0.022370535431092197,0.008970037782451654,2016
34,-0.019939786518484135,0.008612238925499371,2016
35,-0.016344022533231934,-0.013704390210224852,2016
36,0.019633639436637422,0.0222272210889552,2016
37,0.03384910220187739,0.051182744786206456,2016
38,-0.032279683516602015,0.041988742714792776,2016
39,0.01311859314190377,0.016214896104390537,2016
40,-0.0030689435537599873,0.004117202216738212,2016
41,-0.0002024705864253655,-0.021929146177505302,2016
42,0.05546556972940194,-0.0038555522670956997,2016
43,0.04748784740430082,-0.02033933193624193,2016
44,0.025649092021332698,-0.005171716637100604,2016
45,0.020450514304088202,-0.01193866776326925,2016
46,0.01902480903406132,-0.02152676430659951,2016
47,0.03690113443312456,-0.003338733940220934,2016
48,-0.005416199701196164,-0.006154873903466861,2016
49,0.001217146322140576,0.017283084890072124,2016
50,0.019862439182244913,-0.010874069000682354,2016
51,0.017658472543394515,0.018012055458712768,2016
52,0.059557065317419514,-0.01096171289670259,2016
53,0.01842110405693271,0.020337591608963753,2016
54,0.022468075748346337,0.03160636483803096,2016
55,-0.004787693320438655,7.856697737743051e-05,2016
56,0.017778413002136874,-0.004691007797302647,2016
57,0.03879109843761168,-0.016814172571246105,2016
58,-0.004878390545025504,-0.00166443607473985,2016
59,-0.0007940788745905829,0.003910951909829749,2016
60,0.007898292204548527,0.022056142431835332,2016
61,-0.0067084390208213655,0.007322377304661306,2016
62,0.0402128893368772,-0.005700539721411938,2016
63,-0.017320761597867534,-0.007962989127668284,2016
64,0.004119744719146321,-0.005656219182737162,2016
65,-0.014380729084071259,0.004022233397055171,2016
